lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 1.0 | 0.172 | 0.828
0.0001 | 0.01| 0.1 | 0.164 | 0.836
0.0001 | 0.01| 0.0 | 0.161 | 0.839
0.0001 | 0.01| 0.01 | 0.176 | 0.824
0.0001 | 0.01| 0.001 | 0.176 | 0.824
0.0001 | 0.01| 1.0 | 0.218 | 0.782
0.0001 | 0.01| 0.1 | 0.187 | 0.813
0.0001 | 0.01| 5.0 | 0.21 | 0.79
0.0001 | 0.01| 10.0 | 0.206 | 0.794
