lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.001 | 0.535 | 0.465
0.0001 | 0.01| 5.0 | 0.009 | 0.991
0.0001 | 0.01| 0.1 | 0.546 | 0.454
0.0001 | 0.01| 0.01 | 0.535 | 0.465
0.0001 | 0.01| 1.0 | 0.01 | 0.99
0.001 | 0.01| 1.0 | 0.556 | 0.444
0.001 | 0.01| 0.1 | 0.617 | 0.383
0.0001 | 0.01| 10.0 | 0.008 | 0.992
0.001 | 0.01| 0.001 | 0.63 | 0.37
0.001 | 0.01| 0.01 | 0.628 | 0.372
0.001 | 0.01| 5.0 | 0.482 | 0.518
0.001 | 0.01| 10.0 | 0.442 | 0.558
