lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.001 | 0.585 | 0.415
0.0001 | 0.01| 0.1 | 0.596 | 0.404
0.0001 | 0.01| 5.0 | 0.129 | 0.871
0.0001 | 0.01| 0.01 | 0.586 | 0.414
0.0001 | 0.01| 1.0 | 0.455 | 0.545
0.0001 | 0.01| 10.0 | 0.096 | 0.904
0.001 | 0.01| 0.001 | 0.616 | 0.384
0.001 | 0.01| 0.1 | 0.617 | 0.383
0.001 | 0.01| 0.01 | 0.619 | 0.381
0.001 | 0.01| 1.0 | 0.442 | 0.558
0.001 | 0.01| 5.0 | 0.301 | 0.699
0.001 | 0.01| 10.0 | 0.253 | 0.747
