lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.001 | 0.878 | 0.122
0.0001 | 0.01| 0.01 | 0.879 | 0.121
0.0001 | 0.01| 0.1 | 0.878 | 0.122
0.0001 | 0.01| 1.0 | 0.013 | 0.987
0.0001 | 0.01| 5.0 | 0.004 | 0.996
0.0001 | 0.01| 10.0 | 0.004 | 0.996
0.001 | 0.01| 0.001 | 0.873 | 0.127
0.001 | 0.01| 0.01 | 0.872 | 0.128
0.001 | 0.01| 0.1 | 0.863 | 0.137
0.001 | 0.01| 1.0 | 0.691 | 0.309
0.001 | 0.01| 5.0 | 0.194 | 0.806
0.001 | 0.01| 10.0 | 0.071 | 0.929
