lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.1 | 0.597 | 0.403
0.0001 | 0.01| 0.0 | 0.577 | 0.423
0.0001 | 0.01| 1.0 | 0.632 | 0.368
0.0001 | 0.01| 2.0 | 0.63 | 0.37
0.0001 | 0.01| 10.0 | 0.594 | 0.406
0.0001 | 0.01| 1.0 | 0.632 | 0.368
0.0001 | 0.01| 1.0 | 0.643 | 0.357
0.0001 | 0.01| 0.001 | 0.655 | 0.345
0.0001 | 0.01| 0.01 | 0.653 | 0.347
0.0001 | 0.01| 0.1 | 0.668 | 0.332
0.0001 | 0.01| 1.0 | 0.675 | 0.325
0.0001 | 0.01| 5.0 | 0.662 | 0.338
0.0001 | 0.01| 10.0 | 0.648 | 0.352
