lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.001 | 0.927 | 0.073
0.0001 | 0.01| 0.1 | 0.925 | 0.075
0.0001 | 0.01| 0.01 | 0.926 | 0.074
0.0001 | 0.01| 1.0 | 0.912 | 0.088
0.0001 | 0.01| 5.0 | 0.9 | 0.1
0.0001 | 0.01| 10.0 | 0.876 | 0.124
0.001 | 0.01| 0.001 | 0.982 | 0.018
0.001 | 0.01| 0.01 | 0.981 | 0.019
0.001 | 0.01| 0.1 | 0.973 | 0.027
0.001 | 0.01| 1.0 | 0.948 | 0.052
0.001 | 0.01| 5.0 | 0.885 | 0.115
0.001 | 0.01| 10.0 | 0.848 | 0.152
