lr | lambda | beta | opt-rate | regret
0.0001 | 0.01| 0.001 | 0.17 | 0.83
0.0001 | 0.01| 1.0 | 0.21 | 0.79
0.0001 | 0.01| 0.01 | 0.172 | 0.828
0.0001 | 0.01| 0.1 | 0.19 | 0.81
0.0001 | 0.01| 5.0 | 0.107 | 0.893
0.0001 | 0.01| 10.0 | 0.086 | 0.914
0.001 | 0.01| 0.001 | 0.2 | 0.8
0.001 | 0.01| 0.01 | 0.206 | 0.794
0.001 | 0.01| 1.0 | 0.168 | 0.832
0.001 | 0.01| 0.1 | 0.197 | 0.803
0.001 | 0.01| 5.0 | 0.153 | 0.847
0.001 | 0.01| 10.0 | 0.151 | 0.849
